Time,Fila Max,Ocupacao,E[N],E[W],Lambda,Erro de Little
100.000000,14,0.825578,3.678639,0.839872,2.190000,1.839320
200.000000,18,0.864256,5.011503,1.220359,2.110000,2.436546
300.000000,18,0.805019,3.918414,1.121745,1.956667,1.723533
400.000000,18,0.790474,3.572195,1.702278,1.972500,0.214452
500.000000,18,0.802109,3.765579,1.455596,1.974000,0.892234
600.000000,18,0.795347,3.593023,1.442558,1.973333,0.746375
700.000000,18,0.810614,3.889089,1.500482,1.970000,0.933139
800.000000,18,0.798442,3.905698,1.505337,1.971250,0.938302
900.000000,18,0.791323,3.720590,1.528087,1.956667,0.730633
1000.000000,22,0.796819,3.868775,1.932375,1.967000,0.067793
1100.000000,22,0.791679,3.729367,1.950237,1.968182,-0.109054
1200.000000,22,0.793736,3.749093,1.648480,1.985833,0.475487
1300.000000,22,0.786808,3.583714,1.668867,1.964615,0.305032
1400.000000,22,0.785476,3.553795,1.761458,1.962857,0.096304
1500.000000,22,0.784191,3.461608,0.995801,1.963333,1.506518
1600.000000,22,0.780676,3.389408,1.023002,1.967500,1.376651
1700.000000,22,0.775902,3.321641,1.055448,1.965882,1.246754
1800.000000,22,0.773484,3.275034,1.030086,1.963333,1.252631
1900.000000,22,0.772734,3.327961,1.225643,1.965263,0.919249
2000.000000,22,0.767751,3.273608,1.818677,1.963500,-0.297363
2100.000000,22,0.763750,3.234425,1.533524,1.956190,0.234561
2200.000000,22,0.765929,3.285297,0.685473,1.960000,1.941770
2300.000000,22,0.764313,3.247208,0.438333,1.964783,2.385979
2400.000000,22,0.765020,3.253022,0.669733,1.967500,1.935322
2500.000000,22,0.765942,3.262357,0.842546,1.962800,1.608608
2600.000000,22,0.768011,3.271952,0.987094,1.965769,1.331554
2700.000000,22,0.767884,3.243091,1.167706,1.961111,0.953089
2800.000000,22,0.769261,3.230031,0.470510,1.960357,2.307663
2900.000000,22,0.767303,3.220373,-0.149916,1.956207,3.513641
3000.000000,22,0.769670,3.250777,-0.023808,1.960667,3.297456
3100.000000,22,0.773688,3.338750,-0.058773,1.966774,3.454343
3200.000000,22,0.775167,3.343970,0.116656,1.971250,3.114012
3300.000000,25,0.778574,3.458192,-0.276004,1.980606,4.004848
3400.000000,25,0.779840,3.483279,-0.024748,1.980588,3.532296
3500.000000,25,0.779953,3.465852,0.022135,1.980000,3.422025
3600.000000,25,0.777554,3.434584,-0.011488,1.979167,3.457321
3700.000000,25,0.778216,3.447109,0.139112,1.977568,3.172006
3800.000000,28,0.781184,3.617027,0.330325,1.982632,2.962114
3900.000000,31,0.780856,3.784492,-0.105550,1.976154,3.993075
4000.000000,31,0.780366,3.763671,-0.577650,1.974250,4.904097
4100.000000,31,0.780959,3.740058,-0.379935,1.973415,4.489827
4200.000000,31,0.779975,3.733221,0.095354,1.969762,3.545396
4300.000000,31,0.781510,3.775996,0.087979,1.973256,3.602391
4400.000000,31,0.781120,3.753351,0.183181,1.974773,3.391609
4500.000000,31,0.779615,3.736436,0.286171,1.969333,3.172869
4600.000000,31,0.779430,3.730147,0.560327,1.969783,2.626426
4700.000000,31,0.782814,3.796730,0.589185,1.979149,2.630645
4800.000000,31,0.782632,3.766058,0.611375,1.981667,2.554517
4900.000000,31,0.780643,3.726718,0.919019,1.980612,1.906498
5000.000000,31,0.779947,3.691514,0.455353,1.978200,2.790734
5100.000000,31,0.781389,3.685187,0.017522,1.982549,3.650448
5200.000000,31,0.781535,3.663089,-0.281513,1.983462,4.221458
5300.000000,31,0.782138,3.665698,-0.086337,1.985849,3.837151
5400.000000,31,0.780381,3.631760,-0.002721,1.984074,3.637159
5500.000000,31,0.779118,3.596855,0.067558,1.981455,3.462992
5600.000000,31,0.781628,3.637563,0.488854,1.981964,2.668671
5700.000000,31,0.782253,3.621514,0.383372,1.982281,2.861563
